id,英文名稱,課程名稱,週次,該週開始日期,該週結束日期,註冊人數,購買人數,完課人數
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week49,2017-08-20,2017-08-26,6,2,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week50,2017-08-27,2017-09-02,2,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week51,2017-09-03,2017-09-09,2,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week52,2017-09-10,2017-09-16,6,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week53,2017-09-17,2017-09-23,5,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week54,2017-09-24,2017-09-30,5,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week55,2017-10-01,2017-10-07,7,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week56,2017-10-08,2017-10-14,5,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week57,2017-10-15,2017-10-21,5,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week58,2017-10-22,2017-10-28,2,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week59,2017-10-29,2017-11-04,5,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week60,2017-11-05,2017-11-11,3,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week61,2017-11-12,2017-11-18,4,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week62,2017-11-19,2017-11-25,6,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week63,2017-11-26,2017-12-02,5,0,0
6,shiji,史記（一）（Shi-ji (1) ）,Week1,2017-01-17,2017-01-23,274,6,11
6,shiji,史記（一）（Shi-ji (1) ）,Week2,2017-01-24,2017-01-30,122,2,4
6,shiji,史記（一）（Shi-ji (1) ）,Week3,2017-01-31,2017-02-06,239,4,3
6,shiji,史記（一）（Shi-ji (1) ）,Week4,2017-02-07,2017-02-13,228,4,23
6,shiji,史記（一）（Shi-ji (1) ）,Week5,2017-02-14,2017-02-20,309,5,33
6,shiji,史記（一）（Shi-ji (1) ）,Week6,2017-02-21,2017-02-27,251,3,6
6,shiji,史記（一）（Shi-ji (1) ）,Week7,2017-02-28,2017-03-06,211,1,5
6,shiji,史記（一）（Shi-ji (1) ）,Week8,2017-03-07,2017-03-13,270,2,4
