id,英文名稱,課程名稱,作業名稱,作業類型,繳交人數,通過人數,通過率
11,wuli,普通物理學 - 電磁學、光學及近代物理,第六週作業1,exam,19,0,0.00
11,wuli,普通物理學 - 電磁學、光學及近代物理,第六週作業2,exam,6,0,0.00
11,wuli,普通物理學 - 電磁學、光學及近代物理,第六週作業3,exam,3,0,0.00
11,wuli,普通物理學 - 電磁學、光學及近代物理,期末報告－生活中的物理現象 (互評作業),phased peer,0,0,None
11,wuli,普通物理學 - 電磁學、光學及近代物理,第七週作業1 (互評作業),phased peer,0,0,None
11,wuli,普通物理學 - 電磁學、光學及近代物理,第七週作業2 (互評作業),phased peer,0,0,None
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),Week 1,exam,617,93,0.15
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),Week 2,exam,230,35,0.15
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),Week 3,exam,83,13,0.16
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),期中互評 (4-a),phased peer,13,5,0.38
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),期中互評 (4-b),phased peer,8,3,0.38
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),期中互評 (4-c),phased peer,6,2,0.33
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),期中互評 (4-d),phased peer,6,2,0.33
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),Week 5,exam,57,1,0.02
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),Week 6,exam,56,6,0.11
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),Week 7,exam,36,3,0.08
12,mechanics-of-materials-1,材料力學一 (Mechanics of Materials I),期末同儕互評作業：創意影片拍攝,phased peer,0,0,None
13,cad,工程圖學 2D CAD 專題,正向立面圖,phased peer,220,148,0.67
13,cad,工程圖學 2D CAD 專題,測驗二：立面圖概念與實作,exam,369,188,0.51
13,cad,工程圖學 2D CAD 專題,一樓平面圖,phased peer,252,172,0.68
13,cad,工程圖學 2D CAD 專題,測驗一：平面圖概念與實作,exam,566,226,0.40
14,3d-cad,工程圖學 3D CAD,205 測驗一,exam,1076,306,0.28
14,3d-cad,工程圖學 3D CAD,206 SketchUp 畫櫃子,phased peer,391,248,0.63
14,3d-cad,工程圖學 3D CAD,304 測驗二,exam,729,269,0.37
14,3d-cad,工程圖學 3D CAD,305 SketchUp 畫房子,phased peer,348,241,0.69
14,3d-cad,工程圖學 3D CAD,404 測驗三,exam,626,245,0.39
14,3d-cad,工程圖學 3D CAD,405 SketchUp 畫輪子,phased peer,308,209,0.68
14,3d-cad,工程圖學 3D CAD,504 測驗四,exam,548,238,0.43
14,3d-cad,工程圖學 3D CAD,505 SketchUp 畫101,phased peer,298,213,0.71
15,2d-cad,工程圖學 2D CAD,測驗ㄧ：基礎圖形繪製,exam,2324,851,0.37
15,2d-cad,工程圖學 2D CAD,測驗二：幾何圖法,exam,1239,525,0.42
15,2d-cad,工程圖學 2D CAD,514 手繪三視圖 EG Cube #2,phased peer,476,358,0.75
15,2d-cad,工程圖學 2D CAD,515 AutoCAD繪製三視圖 EG Cube #3,phased peer,479,350,0.73
15,2d-cad,工程圖學 2D CAD,測驗三：三視圖,exam,947,473,0.50
15,2d-cad,工程圖學 2D CAD,614 手繪等角圖 EG Cube #4,phased peer,418,305,0.73
15,2d-cad,工程圖學 2D CAD,測驗四：立體圖,exam,746,387,0.52
15,2d-cad,工程圖學 2D CAD,測驗五：尺寸標註與出圖,exam,715,360,0.50
16,cad3d,工程圖學 3D CAD 專題,測驗一,exam,321,149,0.46
16,cad3d,工程圖學 3D CAD 專題,蓋房子第一階段-結構與樓梯,phased peer,174,128,0.74
16,cad3d,工程圖學 3D CAD 專題,測驗二,exam,255,125,0.49
16,cad3d,工程圖學 3D CAD 專題,蓋房子第二階段-門窗、裝修、材質到模型組合,phased peer,152,113,0.74
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,認識BIM技術,exam,661,253,0.38
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,全球的BIM發展,exam,528,212,0.40
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,同伴互評 1：並列視圖,phased peer,194,138,0.71
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,同伴互評 2：旋轉模型,phased peer,184,131,0.71
